         28790 function calls (27925 primitive calls) in 11.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.223   11.223 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:69(wrapped_main)
        1    0.000    0.000   11.185   11.185 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:124(run_model_with_stop)
       20    0.002    0.000    8.306    0.415 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:49(classify_audio_with_profiling)
       20    0.003    0.000    8.274    0.414 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:250(classify_audio)
       20    0.001    0.000    4.875    0.244 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:135(get_next_spectrogram)
       20    0.022    0.001    4.873    0.244 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:103(_get_next_spectra)
       20    0.009    0.000    4.447    0.222 /home/alvaro/TFG/V5_Audio/audio_recorder.py:174(get_audio)
       20    0.001    0.000    4.436    0.222 /home/alvaro/TFG/V5_Audio/audio_recorder.py:199(<listcomp>)
      160    0.002    0.000    4.435    0.028 /home/alvaro/TFG/V5_Audio/audio_recorder.py:154(_get_chunk)
      160    0.004    0.000    4.424    0.028 /usr/lib/python3.11/queue.py:154(get)
      136    0.002    0.000    4.417    0.032 /usr/lib/python3.11/threading.py:288(wait)
      704    4.414    0.006    4.414    0.006 {method 'acquire' of '_thread.lock' objects}
       20    0.002    0.000    2.746    0.137 /home/alvaro/TFG/V5_Audio/audio_recorder.py:91(__enter__)
       20    0.001    0.000    2.702    0.135 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:631(open)
       20    0.002    0.000    2.701    0.135 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:297(__init__)
        1    0.000    0.000    2.688    2.688 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:221(make_interpreter)
        1    0.000    0.000    2.687    2.687 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:125(load_delegate)
        1    2.685    2.685    2.687    2.687 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:53(__init__)
       20    1.437    0.072    1.437    0.072 {built-in method pyaudio._portaudio.open}
       20    1.262    0.063    1.262    0.063 {built-in method pyaudio._portaudio.start_stream}
       20    0.001    0.000    0.610    0.030 /home/alvaro/TFG/V5_Audio/audio_recorder.py:116(__exit__)
       20    0.000    0.000    0.553    0.028 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:495(stop_stream)
       20    0.553    0.028    0.553    0.028 {built-in method pyaudio._portaudio.stop_stream}
       20    0.002    0.000    0.404    0.020 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:91(_compute_spectrogram)
       20    0.001    0.000    0.336    0.017 /home/alvaro/TFG/V5_Audio/procesamiento_audio2.py:6(build_melspectrogram)
       20    0.001    0.000    0.328    0.016 /home/alvaro/.local/lib/python3.11/site-packages/librosa/feature/spectral.py:2008(melspectrogram)
        1    0.000    0.000    0.187    0.187 /home/alvaro/TFG/V5_Audio/audio_recorder.py:80(__init__)
        1    0.000    0.000    0.185    0.185 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:589(__init__)
        1    0.185    0.185    0.185    0.185 {built-in method pyaudio._portaudio.initialize}
       20    0.147    0.007    0.177    0.009 /home/alvaro/.local/lib/python3.11/site-packages/librosa/filters.py:127(mel)
       20    0.002    0.000    0.085    0.004 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:1009(einsum)
       20    0.074    0.004    0.076    0.004 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:932(tensordot)
  180/120    0.001    0.000    0.071    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
       20    0.004    0.000    0.064    0.003 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:2863(_spectrogram)
       20    0.007    0.000    0.060    0.003 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:54(stft)
       20    0.001    0.000    0.056    0.003 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:449(close)
       20    0.055    0.003    0.055    0.003 {built-in method pyaudio._portaudio.close}
      120    0.001    0.000    0.053    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:1246(op_dispatch_handler)
       44    0.044    0.001    0.044    0.001 {built-in method builtins.print}
      100    0.037    0.000    0.037    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   100/80    0.001    0.000    0.031    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/weak_tensor_ops.py:140(wrapper)
   126/63    0.001    0.000    0.026    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1642(wrapper)
        1    0.000    0.000    0.026    0.026 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:520(__del__)
       20    0.001    0.000    0.026    0.001 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:210(set_input)
