         974081 function calls (965351 primitive calls) in 300.959 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  300.958  300.958 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:69(wrapped_main)
        1    0.015    0.015  300.892  300.892 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:124(run_model_with_stop)
      735    0.047    0.000  298.010    0.405 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:49(classify_audio_with_profiling)
      735    0.109    0.000  297.275    0.404 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:250(classify_audio)
      735    0.067    0.000  177.438    0.241 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:135(get_next_spectrogram)
      735    0.147    0.000  177.336    0.241 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:103(_get_next_spectra)
      735    0.198    0.000  164.553    0.224 /home/alvaro/TFG/V5_Audio/audio_recorder.py:174(get_audio)
      735    0.038    0.000  164.318    0.224 /home/alvaro/TFG/V5_Audio/audio_recorder.py:199(<listcomp>)
     5880    0.085    0.000  164.280    0.028 /home/alvaro/TFG/V5_Audio/audio_recorder.py:154(_get_chunk)
     5880    0.154    0.000  163.821    0.028 /usr/lib/python3.11/queue.py:154(get)
     5145    0.099    0.000  163.533    0.032 /usr/lib/python3.11/threading.py:288(wait)
    26460  163.395    0.006  163.395    0.006 {method 'acquire' of '_thread.lock' objects}
      735    0.147    0.000   98.052    0.133 /home/alvaro/TFG/V5_Audio/audio_recorder.py:91(__enter__)
      735    0.062    0.000   96.712    0.132 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:631(open)
      735    0.068    0.000   96.647    0.131 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:297(__init__)
      735   52.645    0.072   52.645    0.072 {built-in method pyaudio._portaudio.open}
      735   43.934    0.060   43.934    0.060 {built-in method pyaudio._portaudio.start_stream}
      735    0.028    0.000   20.457    0.028 /home/alvaro/TFG/V5_Audio/audio_recorder.py:116(__exit__)
      735    0.021    0.000   18.899    0.026 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:495(stop_stream)
      735   18.878    0.026   18.878    0.026 {built-in method pyaudio._portaudio.stop_stream}
      735    0.068    0.000   12.615    0.017 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:91(_compute_spectrogram)
      735    0.051    0.000   11.059    0.015 /home/alvaro/TFG/V5_Audio/procesamiento_audio2.py:6(build_melspectrogram)
      735    0.045    0.000   10.728    0.015 /home/alvaro/.local/lib/python3.11/site-packages/librosa/feature/spectral.py:2008(melspectrogram)
      735    4.278    0.006    5.402    0.007 /home/alvaro/.local/lib/python3.11/site-packages/librosa/filters.py:127(mel)
      735    0.065    0.000    2.941    0.004 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:1009(einsum)
        1    0.000    0.000    2.687    2.687 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:221(make_interpreter)
