         983162 function calls (974355 primitive calls) in 301.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  301.045  301.045 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:69(wrapped_main)
        1    0.012    0.012  301.016  301.016 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:124(run_model_with_stop)
      742    0.050    0.000  300.830    0.405 /home/alvaro/TFG/V5_Audio/run_model_w_profiling.py:49(classify_audio_with_profiling)
      742    0.111    0.000  300.059    0.404 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:250(classify_audio)
      742    0.066    0.000  178.558    0.241 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:135(get_next_spectrogram)
      742    0.146    0.000  178.458    0.241 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:103(_get_next_spectra)
      742    0.194    0.000  165.345    0.223 /home/alvaro/TFG/V5_Audio/audio_recorder.py:174(get_audio)
      742    0.036    0.000  165.113    0.223 /home/alvaro/TFG/V5_Audio/audio_recorder.py:199(<listcomp>)
     5936    0.085    0.000  165.077    0.028 /home/alvaro/TFG/V5_Audio/audio_recorder.py:154(_get_chunk)
     5936    0.158    0.000  164.613    0.028 /usr/lib/python3.11/queue.py:154(get)
     5181    0.104    0.000  164.326    0.032 /usr/lib/python3.11/threading.py:288(wait)
    26660  164.181    0.006  164.181    0.006 {method 'acquire' of '_thread.lock' objects}
      742    0.152    0.000   99.441    0.134 /home/alvaro/TFG/V5_Audio/audio_recorder.py:91(__enter__)
      742    0.052    0.000   97.964    0.132 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:631(open)
      742    0.076    0.000   97.908    0.132 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:297(__init__)
      742   53.246    0.072   53.246    0.072 {built-in method pyaudio._portaudio.open}
      742   44.586    0.060   44.586    0.060 {built-in method pyaudio._portaudio.start_stream}
      742    0.028    0.000   20.663    0.028 /home/alvaro/TFG/V5_Audio/audio_recorder.py:116(__exit__)
      742    0.021    0.000   19.136    0.026 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:495(stop_stream)
      742   19.115    0.026   19.115    0.026 {built-in method pyaudio._portaudio.stop_stream}
      742    0.072    0.000   12.948    0.017 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:91(_compute_spectrogram)
      742    0.051    0.000   11.339    0.015 /home/alvaro/TFG/V5_Audio/procesamiento_audio2.py:6(build_melspectrogram)
      742    0.046    0.000   11.005    0.015 /home/alvaro/.local/lib/python3.11/site-packages/librosa/feature/spectral.py:2008(melspectrogram)
      742    4.419    0.006    5.523    0.007 /home/alvaro/.local/lib/python3.11/site-packages/librosa/filters.py:127(mel)
      742    0.065    0.000    3.004    0.004 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:1009(einsum)
      742    2.560    0.003    2.643    0.004 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:932(tensordot)
      742    0.181    0.000    2.427    0.003 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:2863(_spectrogram)
      742    0.291    0.000    2.246    0.003 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:54(stft)
6678/4452    0.049    0.000    1.910    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
